id,,,,,
18110701,10,06,04,02,08
18110702,05,04,06,01,03
18110703,04,05,01,10,03
18110704,01,05,09,08,10
18110705,08,07,01,09,11
18110706,09,04,10,11,03
18110707,05,08,06,11,01
18110708,11,07,02,10,05
18110709,05,03,04,02,09
18110710,04,05,10,03,06
18110711,03,08,02,04,05
18110712,04,07,10,08,09
18110713,01,04,09,07,03
18110714,08,06,04,05,07
18110715,03,01,08,10,06
18110716,02,10,08,03,09
18110717,06,08,09,01,02
18110718,09,01,05,07,10
18110719,01,07,02,03,06
18110720,10,03,01,09,06
18110721,02,10,09,01,05
18110722,09,02,07,05,10
18110723,02,06,04,08,11
18110724,03,01,10,05,06
18110725,07,11,10,09,05
18110726,01,09,11,03,07
18110727,06,01,09,03,04
18110728,05,02,10,01,03
18110729,11,09,08,04,05
18110730,09,07,11,02,01
18110731,10,03,11,06,04
18110732,03,02,04,05,06
18110733,06,08,10,11,03
18110734,11,01,05,10,02
18110735,04,11,08,01,03
18110736,10,02,07,08,06
18110737,05,03,11,08,02
18110738,03,06,02,07,09
18110739,05,10,02,07,03
18110740,11,10,04,02,08
18110741,02,10,04,05,01
18110742,07,01,08,09,04
18110743,02,07,01,11,06
18110744,07,01,04,06,02
18110745,05,04,01,09,07
18110746,03,05,06,10,02
18110747,09,08,02,10,04
18110748,04,06,05,11,09
18110749,01,05,09,02,11
18110750,07,08,10,02,01
18110751,04,07,06,02,09
18110752,03,01,06,09,11
18110753,04,02,08,07,09
18110754,03,07,04,02,10
18110755,07,10,06,09,08
18110756,11,09,10,03,06
18110757,09,02,11,07,10
18110758,04,03,08,05,09
18110759,07,05,08,11,01
18110760,02,06,09,10,11
18110761,10,03,05,06,01
18110762,04,09,05,06,11
18110763,06,02,04,03,08
18110764,11,04,07,05,08
18110765,08,02,11,06,05
18110766,02,10,01,07,09
18110767,03,01,04,09,05
18110768,06,10,08,11,09
18110769,08,11,04,03,06
18110770,06,02,08,03,04
18110771,07,01,09,03,02
18110772,04,10,02,06,07
18110773,02,07,03,05,11
18110774,03,05,06,11,07
18110775,06,04,05,09,02
18110776,01,05,10,02,11
18110777,02,03,09,08,10
18110778,01,09,02,05,04
18110779,01,09,04,06,07
18110780,10,06,04,05,08
18110781,09,10,07,04,06
18110782,07,02,03,04,11
18110783,07,09,10,02,04
18110784,04,02,09,05,06
18110785,11,02,09,03,06
18110786,07,09,01,04,10
18110787,05,11,10,03,01
